Id_Pays, Annee, Nbr_diabetique, Code_Sexe
30,1980,1.0390905429936618,1
30,1981,1.0406773189783549,1
30,1982,1.0423747470052346,1
30,1983,1.0442121234422746,1
30,1984,1.0461630752532948,1
30,1985,1.0482116627354593,1
30,1986,1.0503997506007953,1
30,1987,1.0528024967503663,1
30,1988,1.0553043955608816,1
30,1989,1.0578838381918731,1
30,1990,1.0605768306328734,1
30,1991,1.0633133222612268,1
30,1992,1.0661294168820028,1
30,1993,1.0689894476506062,1
30,1994,1.0718926763905346,1
30,1995,1.0748153211308293,1
30,1996,1.0777538167898134,1
30,1997,1.0807020777225457,1
30,1998,1.0836610282250913,1
30,1999,1.0866312409211419,1
30,2000,1.0895793775795391,1
30,2001,1.0925015853222301,1
30,2002,1.0953903082229481,1
30,2003,1.098178751694608,1
30,2004,1.100825686418868,1
30,2005,1.103309241420415,1
30,2006,1.105607233533805,1
30,2007,1.107828204426301,1
30,2008,1.109863709838188,1
30,2009,1.111697127474701,1
30,2010,1.113412968839358,1
30,2011,1.115018846791913,1
30,2012,1.116556551694418,1
30,2013,1.118026885104581,1
30,2014,1.119438461978656,1
31,1980,48544.11,1
31,1981,50427.42,1
31,1982,52478.18,1
31,1983,54705.35,1
31,1984,57111.18,1
31,1985,59561.57,1
31,1986,61948.76,1
31,1987,64303.44,1
31,1988,66624.34,1
31,1989,68945.22,1
31,1990,71296.94,1
31,1991,73657.46,1
31,1992,75970.64,1
31,1993,78345.83,1
31,1994,80821.67,1
31,1995,83441.98,1
31,1996,86083.01,1
31,1997,88747.13,1
31,1998,91473.82,1
31,1999,94166.86,1
31,2000,96859.26,1
31,2001,99509.37,1
31,2002,102094.57,1
31,2003,104647.47,1
31,2004,107197.52,1
31,2005,109786.29,1
31,2006,112564.69,1
31,2007,115503.58,1
31,2008,118602.14,1
31,2009,121848.24,1
31,2010,125145.22,1
31,2011,128530.87,1
31,2012,132237.4,1
31,2013,136134.9,1
31,2014,140200.28,1
33,1980,1.0419434195589647,1
33,1981,1.0425989403560864,1
33,1982,1.0432505035228077,1
